Domen | Tugash muddati | Status
----------------------------------------
aa.uz | 20-Jul-2026 | ACTIVE
ab.uz | 19-Feb-2026 | ACTIVE
ac.uz | - | RESERVED
ad.uz | 13-Dec-2026 | ACTIVE
ae.uz | 19-Feb-2027 | ACTIVE
af.uz | 09-Sep-2034 | ACTIVE
ag.uz | 10-Sep-2026 | ACTIVE
ah.uz | 16-Dec-2026 | ACTIVE
ai.uz | 20-May-2028 | ACTIVE
aj.uz | 27-Dec-2026 | ACTIVE
ak.uz | 29-Oct-2027 | ACTIVE
al.uz | 26-Oct-2026 | ACTIVE
am.uz | 06-Apr-2027 | ACTIVE
an.uz | 25-Mar-2034 | ACTIVE
ao.uz | 06-May-2026 | ACTIVE
ap.uz | 17-Jun-2026 | ACTIVE
aq.uz | 29-Aug-2026 | ACTIVE
ar.uz | 23-Jun-2026 | ACTIVE
as.uz | 01-Jul-2027 | ACTIVE
at.uz | 22-Jan-2028 | ACTIVE
au.uz | 09-Jul-2026 | ACTIVE
av.uz | 27-Sep-2027 | ACTIVE
aw.uz | 12-Dec-2026 | ACTIVE
ax.uz | 09-Jul-2026 | ACTIVE
ay.uz | 07-Nov-2026 | ACTIVE
az.uz | 07-Oct-2026 | ACTIVE
a0.uz | 03-Oct-2026 | ACTIVE
a1.uz | 06-Sep-2026 | ACTIVE
a2.uz | 11-Dec-2026 | ACTIVE
a3.uz | 24-May-2026 | ACTIVE
a4.uz | 20-May-2026 | ACTIVE
a5.uz | 11-Dec-2026 | ACTIVE
a6.uz | 26-Jul-2026 | ACTIVE
a7.uz | 21-Jan-2028 | ACTIVE
a8.uz | 26-Jul-2026 | ACTIVE
a9.uz | 12-Sep-2026 | ACTIVE
ba.uz | 07-Oct-2026 | ACTIVE
bb.uz | 25-Feb-2028 | ACTIVE
bc.uz | 19-Jun-2026 | ACTIVE
bd.uz | 28-Jan-2027 | ACTIVE
be.uz | 02-Oct-2026 | ACTIVE
bf.uz | 07-Oct-2026 | ACTIVE
bg.uz | 17-Apr-2026 | ACTIVE
bh.uz | 29-Aug-2026 | ACTIVE
bi.uz | 01-Feb-2027 | ACTIVE
bj.uz | 07-Oct-2026 | ACTIVE
bk.uz | 10-Sep-2026 | ACTIVE
bl.uz | 05-Oct-2026 | ACTIVE
bm.uz | 07-Jun-2026 | ACTIVE
bn.uz | 22-May-2026 | ACTIVE
bo.uz | 02-Oct-2026 | ACTIVE
bp.uz | 12-Mar-2033 | ACTIVE
bq.uz | 11-Oct-2026 | ACTIVE
br.uz | 21-Dec-2027 | ACTIVE
bs.uz | 14-Mar-2028 | ACTIVE
bt.uz | 27-Nov-2026 | ACTIVE
bu.uz | 03-Mar-2027 | ACTIVE
bv.uz | 02-Oct-2026 | ACTIVE
bw.uz | 10-Dec-2026 | ACTIVE
bx.uz | 19-Oct-2026 | ACTIVE
by.uz | 16-Aug-2026 | ACTIVE
bz.uz | 15-Oct-2026 | ACTIVE
b0.uz | 26-Jul-2026 | ACTIVE
b1.uz | 09-Mar-2027 | ACTIVE
b2.uz | 13-Jul-2026 | ACTIVE
b3.uz | 30-Apr-2026 | ACTIVE
b4.uz | 13-Sep-2026 | ACTIVE
b5.uz | 19-Mar-2026 | ACTIVE
b6.uz | 26-Jul-2026 | ACTIVE
b7.uz | 04-Oct-2026 | ACTIVE
b8.uz | 25-Jun-2026 | ACTIVE
b9.uz | 26-Jul-2026 | ACTIVE
ca.uz | 27-Oct-2026 | ACTIVE
cb.uz | 07-Oct-2026 | ACTIVE
cc.uz | - | RESERVED
